"entity_value","frequency"
"Obama","10786"
"God","4402"
"Barack Obama","2854"
"King","2794"
"Christ","2431"
"Johnson","2142"
"Jackson","2096"
"Williams","1934"
"Smith","1849"
"Brown","1790"
"James","1588"
"Tracy Allen","1561"
"Cleaver","1288"
"Eric L","1200"
"Wesson","1171"
"Jones","1170"
"Wilson","1132"
"Jesus","1106"
"Martin Luther King Jr","1078"
"Bush","1003"
"Davis","957"
"Eric L. Wesson","948"
"Martin","927"
"Clinton","908"
"Zimmerman","899"
"Woods","834"
"Mccain","816"
"Taylor","752"
"Robinson","733"
"Thomas","708"
"Rex Purefoy","696"
"White","653"
"Moore","636"
"Jesus Christ","619"
"John","612"
"Nixon","611"
"Washington","609"
"Wright","604"
"Charles","581"
"Franklin","577"
"Michael","573"
"Malcolm Morris","567"
"Lee","565"
"Brooks","557"
"Young","544"
"Harris","534"
"Carter","533"
"Jordan","531"
"Murray","528"
"Haley","513"
"Walker","508"
"Anderson","504"
"Sly James","496"
"Reed","485"
"Green","482"
"Emanuel Cleaver Ii","473"
"Scott","472"
"Allen","469"
"Thompson","468"
"Lewis","464"
"Funkhouser","457"
"Trayvon Martin","446"
"David","445"
"Curls","440"
"Martin Luther King","433"
"Robert","430"
"Michelle Obama","420"
"Banks","419"
"Edwards","416"
"Jermaine Reed","410"
"John Mccain","407"
"Miller","405"
"Hill","401"
"West","399"
"Romney","390"
"Paul","384"
"Kennedy","376"
"Gates","370"
"Michael Jackson","366"
"Martin Luther King, Jr","365"
"Watson","361"
"Nunnelly","358"
"Howard","355"
"Hawkins","354"
"Bill Clinton","352"
"Sharpton","349"
"Perry","347"
"Mandela","344"
"Covington","341"
"Emanuel Cleaver","338"
"Ellis","338"
"Riley","335"
"Mccaskill","334"
"Turner","330"
"George","329"
"Russell","325"
"Gray","321"
"Simmons","316"
"Jay Nixon","314"
"Baker","314"
