entity_type,entity_value,count
LOC,Kansas City,35
LOC,Arrowhead,18
LOC,New York,13
LOC,Washington,10
LOC,Denver,8
LOC,Kansas,7
LOC,Missouri,6
LOC,Mo,6
LOC,Oakland,6
LOC,Tennessee,6
LOC,Allen,5
LOC,Burlington,5
LOC,Columbia,5
LOC,Iowa,5
LOC,K.C,5
LOC,West,5
LOC,Bootheel,4
LOC,Cleveland,4
LOC,Raytown,4
LOC,Melody Lanes,3
LOC,New England,3
LOC,Ohio,3
LOC,Osawatomie,3
LOC,Prospect,3
LOC,Tampa Bay,3
LOC,Troost,3
LOC,United States,3
LOC,Arizona,2
LOC,Baltimore,2
LOC,Black Hole,2
LOC,Buffalo,2
LOC,Canton,2
LOC,City,2
LOC,Ebenezer,2
LOC,Georgia,2
LOC,Indianapolis,2
LOC,Kas,2
LOC,King Louie East,2
LOC,Macon,2
LOC,Main,2
LOC,Marriott,2
LOC,New Orleans,2
LOC,Pittsburgh,2
LOC,San Diego,2
LOC,Seattle,2
LOC,St. James,2
LOC,Station,2
LOC,104Th,1
LOC,18Th Street,1
LOC,31St,1
LOC,39Th,1
LOC,45Th,1
LOC,63Rd,1
LOC,69Th And Prospect,1
LOC,Ararat Temple,1
LOC,Arrowhead United Methodist Church,1
LOC,Atlanta,1
LOC,Bay,1
LOC,Blue,1
LOC,Blue River Road,1
LOC,Blue Springs,1
LOC,California,1
LOC,Capitol,1
LOC,Carolina,1
LOC,Central City,1
LOC,Clarence,1
LOC,County,1
LOC,Crown Center,1
LOC,Deep South,1
LOC,Downtown Marriott,1
LOC,East Side,1
LOC,Ebenezer Ame Church,1
LOC,Ed West,1
LOC,England,1
LOC,Excelsior Springs,1
LOC,Fantasy Land,1
LOC,Fifth Avenue,1
LOC,Fifty First,1
LOC,Florida,1
LOC,Gem Theatre,1
LOC,Grace Point Church,1
LOC,Grandview,1
LOC,Haiti,1
LOC,Hayti,1
LOC,Houston,1
LOC,Independence,1
LOC,Indonesia,1
LOC,Jefferson City,1
LOC,Joplin,1
LOC,Joseph,1
LOC,Juke House,1
LOC,Kansas 50,1
LOC,Kansas City Mo,1
LOC,Kosovo,1
LOC,"Laplata, Still",1
LOC,Las Vegas,1
LOC,Lee,1
LOC,Linwood,1
LOC,Lloyd Green Field,1
LOC,Macon County,1
LOC,Martha,1
LOC,Mason Memorial,1
LOC,Memory Lanes,1
LOC,Miami,1
LOC,Minnesota,1
LOC,Mount Pleasant,1
LOC,Mount Vernon,1
LOC,Muddville,1
LOC,Municipal Stadium,1
LOC,New York City,1
LOC,Niles Home,1
LOC,Olive,1
LOC,Oregon,1
LOC,Osawatamie,1
LOC,Paradise,1
LOC,Peachtree Buffet,1
LOC,Peyton’S Place,1
LOC,Pleasant Hill,1
LOC,Portland,1
LOC,Premier,1
