Title,Abstract,StoreId,ArticleType,Authors,copyright,documentType,entryDate,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database,source_file
Louis Jordan Qn Ninth Dixie Tour,HOUSTON-- For the ninth Straight year bandleader Louis Jordan is on a southern tour of dance halls and nite clubs. This year's trek is expected to be the best he's had judging by the dozen dstes he's played so far.,3265224739,newspapers,, Copyright Kansas City Call 1950, Article," Sep 15, 1950", English, English," Kansas City, Missouri","Sep 15, 1950",The Call (1933-),1950,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/louis-jordan-qn-ninth-dixie-tour/docview/3265224739/se-2?accountid=14556, 11,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Louis+Jordan+Qn+Ninth+Dixie+Tour&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1950-09-15&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=11&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Arnett Cobb's Swinging Again,"The long missed but well remembered tunes from the saxophone of Arnett Cobb were ringing through the nite clubs and dance halls, prior to his joining up with the sensational Universal-Attractions' package that shared the spotlight at...",3265224011,newspapers,, Copyright Kansas City Call 1950, Article," Sep 15, 1950", English, English," Kansas City, Missouri","Sep 15, 1950",The Call (1933-),1950,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/arnett-cobbs-swinging-again/docview/3265224011/se-2?accountid=14556, 10,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Arnett+Cobb%27s+Swinging+Again&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1950-09-15&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=10&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
"Beau Jack-Tony Janiro Garden Bout Will Live in Memory Says Writer: BEAU JACK,-- THE NOBLEST ROMAN"": BEAU JACK,-- THE NOBLEST ROMAN""","NEW YORK. -- (ANP) --Fri day nite, Feb. 21, will live long I in the memory of the 18,062 box ing fans who paid $98,053 into Madison Square Garden's till to see Tony Janiro, doughty white warrior out of Youngstown, O floor Beau Jack Cfirst time in his...",2905538775,newspapers,"Moses, Alvin", Copyright Kansas City Call 1947, Article," Mar 7, 1947", English, English," Kansas City, Missouri","Mar 7, 1947",The Call (1933-),1947,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/beau-jack-tony-janiro-garden-bout-will-live/docview/2905538775/se-2?accountid=14556, b8,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Beau+Jack-Tony+Janiro+Garden+Bout+Will+Live+in+Memory+Says+Writer%3A+BEAU+JACK%2C--+THE+NOBLEST+ROMAN%26quot%3B&amp;rft.au=Moses%2C+Alvin&amp;rft.aulast=Moses&amp;rft.aufirst=Alvin&amp;rft.date=1947-03-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=b8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
The Midnight Man in Chicago 3,"NEW YORK CITY --(ANS)-- To this visiting Mid-nite Man, Chii'ap'o was the jumpingest town in the world last week. From the strictly musical standpoint. New York has relatively little to offer at the moment, and the first twenty-four hours in Chi offered more swing excitement than the whole of the previous week in the Apple.",2905394813,newspapers,"Watson, Ted", Copyright Kansas City Call 1942, Article," Aug 14, 1942", English, English," Kansas City, Missouri","Aug 14, 1942",The Call (1933-),1942,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/midnight-man-chicago-3/docview/2905394813/se-2?accountid=14556, a15,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=The+Midnight+Man+in+Chicago+3&amp;rft.au=Watson%2C+Ted&amp;rft.aulast=Watson&amp;rft.aufirst=Ted&amp;rft.date=1942-08-14&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=a15&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
BALLYHOO 2,"SHREVEPORT.-- Street scenes: Along big Texas avenue, where the sepia variety o' the species hang around, ya can find the band boys packed in at the Chinese resturants jivein' bout who's who in the swing world; they knock a feed 'round noon, almost come to blows ?bout who's got a gig for tonite and who ain't; then round nite time scatter to the various jobs, come back next mornin' tellin' who went over big, and what-not Move on down the ""main stem"" and you'll see the barber shop boys gabbin' bout first One thing and another Go' round...",2905340128,newspapers,"Nedde, Pittman E", Copyright Kansas City Call 1939, Article," Mar 10, 1939", English, English," Kansas City, Missouri","Mar 10, 1939",The Call (1933-),1939,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/ballyhoo-2/docview/2905340128/se-2?accountid=14556, 15,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=BALLYHOO+2&amp;rft.au=Nedde%2C+Pittman+E&amp;rft.aulast=Nedde&amp;rft.aufirst=Pittman&amp;rft.date=1939-03-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=15&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
BALLYHOO,"SHREVEPORT.-- WHY COLUMNISTS CANT SLEEP: ?Look leah, what didju put my name to dat paper fer??.... ?I wants you to put somethin' in de paper bout my baby's party; tis good newser ya.?.... ?A dime, I ain't got no dime!?.... Can'tcha credit me?? ?Lemme see ya paper for a few minutes.?.... And this kind o'chatter by the ?upper tens?: ?I don't appreciate such publicity, it's detrimental to my standing"".... ?That's no fun; it's only disgracing,? etc, all which makes us chuckle up our sleeves; it's all in fun, but ya can't get any shut-eye ?til way into the nite; 'cidentally, we might add that...",2905340042,newspapers,"Nedde, Pittman E", Copyright Kansas City Call 1939, Article," Mar 10, 1939", English, English," Kansas City, Missouri","Mar 10, 1939",The Call (1933-),1939,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/ballyhoo/docview/2905340042/se-2?accountid=14556, a11,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=BALLYHOO&amp;rft.au=Nedde%2C+Pittman+E&amp;rft.aulast=Nedde&amp;rft.aufirst=Pittman&amp;rft.date=1939-03-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=a11&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Count Basie Continues His 'Triumphs' Throughout U.S.A. 2,"Roaring from town to town on another one-nite tour, COUNT BASIE, the ""Jump King of Swing,"" is again smashing ballroom attendance records with reckless abandon. On June 8 the Count rolled up a gross of almost $3,500 for one night at Sparrow Beach.",2904241075,newspapers,, Copyright Kansas City Call 1941, Article," Jun 27, 1941", English, English," Kansas City, Missouri","Jun 27, 1941",The Call (1933-),1941,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/count-basie-continues-his-triumphs-throughout-u-s/docview/2904241075/se-2?accountid=14556, a14,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Count+Basie+Continues+His+%27Triumphs%27+Throughout+U.S.A.+2&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1941-06-27&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=a14&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Coast Club Draws Stars of All Races,"CHICAGO The 52nd Street of the West Coast is a Hollywood nite club owned by Billy Berg, photo-profiled in April Ebony as the man who gave Nellie Lutcher and Slim Gaillard their start and whose policy informality and entertainment draws big-name...",2898133459,newspapers,, Copyright Kansas City Call 1948, Article," Mar 12, 1948", English, English," Kansas City, Missouri","Mar 12, 1948",The Call (1933-),1948,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/coast-club-draws-stars-all-races/docview/2898133459/se-2?accountid=14556, 6,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Coast+Club+Draws+Stars+of+All+Races&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1948-03-12&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=6&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Coast Club Draws Stars of All Races 3,"CHICAGO. The 52nd Street of the West Coast is a Hollywood nite club owned by Billy Berg, photo-profiled in April Ebony as the man who gave Nellie Lutcher and Slim Gaillard their start and whose policy informality and entertainment draws big-name...",2898132924,newspapers,, Copyright Kansas City Call 1948, Article," Mar 12, 1948", English, English," Kansas City, Missouri","Mar 12, 1948",The Call (1933-),1948,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/coast-club-draws-stars-all-races-3/docview/2898132924/se-2?accountid=14556, b6,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Coast+Club+Draws+Stars+of+All+Races+3&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1948-03-12&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=b6&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
BALLYHOO,"SHREVEPORT. --Well --Well --Well! chillun, this ole town is zone vacation wild, no jive!.... Brother hits so lonesome round these heah parts right now til the Ole Scribbler jest sits out front and thinks bout the big towns his pals are baskin in and enjoyin themselves-- Well, when you're stickin you'se the butter, and when ya ain't-- well, ya gotta take it easy wid ya ole hometown and jest wait 'til nite time and Sunday comes, foer ya vacashun!.... Nuf sed, in order to keep from cryin!",2896292128,newspapers,"Nedde, Pittman E", Copyright Kansas City Call 1939, Article," Aug 18, 1939", English, English," Kansas City, Missouri","Aug 18, 1939",The Call (1933-),1939,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/ballyhoo/docview/2896292128/se-2?accountid=14556, a13,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=BALLYHOO&amp;rft.au=Nedde%2C+Pittman+E&amp;rft.aulast=Nedde&amp;rft.aufirst=Pittman&amp;rft.date=1939-08-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=a13&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
