Title,Abstract,StoreId,ArticleType,Authors,copyright,documentType,entryDate,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database,source_file
'Monday Night Footballers' Hold Annual New Year's Party,"With fun, festivity and food, the ""Monday Nite Footballers"" 1981 annual New Year's Eve party went off ""with a big bang."" Over 250 persons jammed the Barcelona and Mediterranean meeting rooms at...",2823901387,newspapers,, Copyright Kansas City Call 1982, Article," Jan 22, 1982", English, English," Kansas City, Missouri","Jan 22, 1982",The Call (1933-),1982,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-night-footballers-hold-annual-new-years/docview/2823901387/se-2?accountid=14556, 6,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=%27Monday+Night+Footballers%27+Hold+Annual+New+Year%27s+Party&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1982-01-22&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=6&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Monday Night Footballers Entertained in St. Louis,"From check-in to checkout, the Kansas City Monday Nite football group and guests were entertained in sheer elegance by their St. Louis counterparts during their Governor's Cup weekend. Each year the two...",2841296544,newspapers,"Nunnelly, Jim", Copyright Kansas City Call 1984, Article," Aug 17, 1984", English, English," Kansas City, Missouri","Aug 17, 1984",The Call (1933-),1984,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-night-footballers-entertained-st-louis/docview/2841296544/se-2?accountid=14556, 14,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Monday+Night+Footballers+Entertained+in+St.+Louis&amp;rft.au=Nunnelly%2C+Jim&amp;rft.aulast=Nunnelly&amp;rft.aufirst=Jim&amp;rft.date=1984-08-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=14&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Monday Nite Footballers Monday Niters Predict .500 Mid-Season Record For Chiefs,,2828033890,newspapers,"Nunelly, James", Copyright Kansas City Call 1989, Article," Oct 27, 1989", English, English," Kansas City, Missouri","Oct 27, 1989",The Call (1933-),1989,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-nite-footballers-niters-predict-500-mid/docview/2828033890/se-2?accountid=14556, 19,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Monday+Nite+Footballers+Monday+Niters+Predict+.500+Mid-Season+Record+For+Chiefs&amp;rft.au=Nunelly%2C+James&amp;rft.aulast=Nunelly&amp;rft.aufirst=James&amp;rft.date=1989-10-27&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=19&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
K.C. Monday Nite Footballers To Greet St. Louis Counterparts,The Monday Nite footballers will entertain their St. Louis counterpart group for the tenth time this week-end during the Governors Cup game between the Kansas City Chiefs and the St. Louis...,2826091567,newspapers,, Copyright Kansas City Call 1985, Article," Aug 30, 1985", English, English," Kansas City, Missouri","Aug 30, 1985",The Call (1933-),1985,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/k-c-monday-nite-footballers-greet-st-louis/docview/2826091567/se-2?accountid=14556, 14,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=K.C.+Monday+Nite+Footballers+To+Greet+St.+Louis+Counterparts&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1985-08-30&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=14&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Monday Nite Footballers View Super Bowl For Ninth Time; Take Issue With Experts,"SUPER BOWL XIX will be remembered by sports fans as the day when Miami and quarterback Dan Marino left their hearts in San Francisco. Out-classed, out-tackled, out-defensed; everything...",2826073798,newspapers,, Copyright Kansas City Call 1985, Article," Jan 25, 1985", English, English," Kansas City, Missouri","Jan 25, 1985",The Call (1933-),1985,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-nite-footballers-view-super-bowl-ninth/docview/2826073798/se-2?accountid=14556, 10,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Monday+Nite+Footballers+View+Super+Bowl+For+Ninth+Time%3B+Take+Issue+With+Experts&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1985-01-25&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=10&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Monday Nite Footballers And Their Predictions,,2826177219,newspapers,, Copyright Kansas City Call 1993, Article," Dec 31, 1993", English, English," Kansas City, Missouri","Dec 31, 1993",The Call (1933-),1993,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-nite-footballers-their-predictions/docview/2826177219/se-2?accountid=14556, 12,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Monday+Nite+Footballers+And+Their+Predictions&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1993-12-31&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=12&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Monday Nite Footballers And Their Predictions,,2825897462,newspapers,, Copyright Kansas City Call 1994, Article," Jan 21, 1994", English, English," Kansas City, Missouri","Jan 21, 1994",The Call (1933-),1994,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-nite-footballers-their-predictions/docview/2825897462/se-2?accountid=14556, 12,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Monday+Nite+Footballers+And+Their+Predictions&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1994-01-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=12&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Monday Nite Footballers And Their Predictions,,2824061049,newspapers,, Copyright Kansas City Call 1993, Article," Dec 3, 1993", English, English," Kansas City, Missouri","Dec 3, 1993",The Call (1933-),1993,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-nite-footballers-their-predictions/docview/2824061049/se-2?accountid=14556, 12,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Monday+Nite+Footballers+And+Their+Predictions&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1993-12-03&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=12&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Monday Nite Footballers Treat 'Sweethearts' To Candlelight Dinner,"Last Saturday evening, the Monday Nite Footballers entertained their sweethearts at the Alameda Rooftop restaurant on the Country Club Plaza. Seated at the two centermost tables, the group...",2824011628,newspapers,"Nunnelly, Jim", Copyright Kansas City Call 1986, Article," Feb 28, 1986", English, English," Kansas City, Missouri","Feb 28, 1986",The Call (1933-),1986,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-nite-footballers-treat-sweethearts/docview/2824011628/se-2?accountid=14556, 8,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Monday+Nite+Footballers+Treat+%27Sweethearts%27+To+Candlelight+Dinner&amp;rft.au=Nunnelly%2C+Jim&amp;rft.aulast=Nunnelly&amp;rft.aufirst=Jim&amp;rft.date=1986-02-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
Monday Nite Football Members Speak On The Chiefs And Mackovic,"Now that the Interscholastic League football year is over, we have to turn our attention to other local matters. Namely, the plight of the Kansas City Chiefs' head football coach, John Mackovic.",2824006484,newspapers,"Nunnelly, Jim", Copyright Kansas City Call 1985, Article," Nov 22, 1985", English, English," Kansas City, Missouri","Nov 22, 1985",The Call (1933-),1985,https://www2.lib.ku.edu/login?url=https://www.proquest.com/newspapers/monday-nite-football-members-speak-on-chiefs/docview/2824006484/se-2?accountid=14556, 14,https://VV6TT6SY5C.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpkansascitycall&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=The+Call+%281933-%29&amp;rft.atitle=Monday+Nite+Football+Members+Speak+On+The+Chiefs+And+Mackovic&amp;rft.au=Nunnelly%2C+Jim&amp;rft.aulast=Nunnelly&amp;rft.aufirst=Jim&amp;rft.date=1985-11-22&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=14&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Call+%281933-%29&amp;rft.issn=&amp;rft_id=info:doi/,"ProQuest Digital Collections, ProQuest Historical Newspapers: Global, ProQuest Historical Newspapers: Kansas City Call",ProQuestDocuments-2026-01-22(1).xls
