id,plain_text
31789,"Monday Nite Footballers Predictions By Jim “Grand Dad” Nunnelly Predicting Since 1970 Hank Stram, Enlarging Our Territory Hank Stram was the first head coach of the Kansas City Chiefs. Only those of us over 50 will remember the days when Kansas City was part of the old American Football League. This was the early sixties, when the predominant National Football League touted franchises. . . like the Chicago Bears, San Francisco Forty-Niners, and the Washington Redskins. And Hank Stram and others had the task of competing with and enlarging the territory of the fragile but willing League. And enlarge they did. And Hank Stram, under the guidance of Lamar Hunt, brought Kansas City up from nowhere into the big leagues. Before merging, the AFL actually had to outbid and outwit the more formidable NFL. More important, they also had to outplay them, as well. And that’s where Hank Stram came in. With smaller, lesser-known players, Hank had to be an innovator. With a small, frail quarterback like Len Dawson, Stram implemented a “moving pocket”. That allowed the bigger, faster offensive linemen to outmaneuver the slower, meaner defensive linemen. And that would lead to a more fan-friendly game. While Hank was a master at coaching, he knew how to motivate the newly-found, small-college athletes. Especially the young athletes from Grambling, Southern, and Texas Southern. And it is here where he will be most remembered by folks of color. Never was there any kind of racial uprising or unfair play on any of Stram’s teams. He just didn’t tolerate it and he made everybody feel included. More important, he treated them fairly at the pocketbook level, as well. Many came poor and left well-paid, especially in their later years. In conclusion, Hank Stram was more than innovation to this new-f league. He was more than a coach, who coined phrases like “matriculating down the field”. Since Stram was in charge, we have not been near a Super Bowl. But he was right up there with Branch Rickey, who cleared the path for Jackie Robinson to play major league baseball. With the same level of commitment, Stram cleared the “economic path” for these young unheard-of athletes, to make a lot of money. Simple as that. He did enlarge our territory. Thanks, Hank."
338164,"Monday Niters Chatter, Conversation and Commentary Super Bowl 42, No Competition February is Black History Month. It’s also the month when 22 states will decide its presidential preference. Of lesser importance, it is also the birthday month of our nation’s founding president, George Washington. And for lovers, the month houses Valentine’s Day. But all this will not hold a candle to Super Bowl 42, featuring the undefeated-going-perfect New England Patriots against the never-quitting New York Giants. But, the game is only a small part. People will be talking about the million-dollar commercials. Already, one sponsor has set aside 16 million to be first in the commercial queue. Add to that the multi-million dollar half-time show (people are still talking about the Janet Jackson fiasco). And most of all, folks are lining the pockets of the Las Vegas casinos. . . rying to pick a for-sure winner. Right now, New England has the edge and everybody is talking about the Brady to Toomer nexus. But what about Little, less-famous brother Eli Manning. Now, that is the real story of this Super Bowl. For nearly ten years, everybody has been talking about Big Brother, Priceless Peyton. And for the record, he was supposed to lead the Colts into Phoenix. Instead, it was Eli who is going to the Big Ball. There is hope for us all. Which brings me to my real message about the Monday Nite Footballers Group. As we all elderize, we can go back to Super Bowl One and Four and any other. We saw Doug Williams set a Super Bowl record for most touchdowns scored in a Super Bowl. We’ve even witnessed running backs like Terrell Davis gallop from one end of the stadium to the other. We’ve known Kansas Citians, like Ralph Brown, who always went to the Super Bowl. And finally, we remembered way back when the Chiefs were in the Super Bowl. I believe it was against Minnesota. I believe it was Otis Taylor who starred that day. He made a little kick going into the end zone. Pardon us for not being sure about all the details. . . for it has been 39 years since the Chiefs were there. Hint. Hint. Do you hear us, Peterson and Edwards?"
118025,"Kerry Washington, The Golden Rule And The 9-2 Chiefs Long before Kerry Washington became “a Thursday night must-see”, she starred along side Jamie Foxx in the 2004 major flick, “Ray”. In fact, she played Ray Charles’ wife and stood firm and steady, all through Ray Charles’ ups and downs and yes, even a nasty heroin addiction. We all knew then that Kerry would rise to the top, especially since she possesses the ability to use “all of her” in her acting craft. Eyes. Nose, Forehead. Eyebrows.Facial creases. This woman exudes totality and entirety. Everything about her makes the scene advance. When acting, Kerry rules. Speaking of rules, let’s talk a minute about the Golden Rule. While many think this is a biblical expression, it really came along, long before Christianity. It simply says “do unto others as you would have them do unto you”. Well, the Chiefs will have a chance to do just that against Denver this Sunday. Beaten badly in the “mile-high” city two weeks ago, the Broncos will come riding into Arrowhead, after a horse-whipping from the New England Patriots last Sunday. Yes, Denver jumped out to a 24-0 lead, only to fall to the “totally magic arm” of Tom Brady. Eventually, the Patriots prevailed with a record-breaking comeback, in the second half. The first half, all Denver. The second half, it was all New England. That brings us to the Chiefs and Denver. Both teams are vying for the AFC West and a guarantee of home-field advantage in the playoffs. And really, it’s much more. Kansas City has to prove that it can “hang” with the best teams, a second time. Against San Diego, the offense finally showed up and the defense went to sleep. Jamaal Charles ran like crazy, while Hali and Houston fell to injuries. And more important, “AWOL Alex” Smith threw for nearly 300 yards. Where in the hell have you been, Alex? Bottom line, the Chiefs will need everything and everybody to beat Denver, especially since Denver was” totally embarrassed” before God and country. Like Kerry Washington, the Chiefs will need to express themselves, just like Smith finally did. Otherwise, the Kansas City fans will consider it a “scandal” and turn the tv off, reminding us of the days-gone-by when they lost all the time. Ahhhh. An idea. Let’s call in Olivia Pope and see if she can fix this scandal or do something to make it right. No, not just yet. Let’s give the Chiefs one more chance, to put together a complete game, where the offense moves the ball and the defense rides the bucking Broncos. Faith. Faith. Faith. Just a little more faith. And a lot of the Golden Rule. Dr. Charles Allen: It’s a “must-win”. Chiefs by 10. Mrs. Mila Lewis Banks: Chiefs lost their best tacklers. Denver by 7. Paul Booker: K.C’s defense is no longer enthusiastic. Denver by 14 Carl Clark: Alex Smith has been exposed. Denver by 7. Bubba Cleaver: These are troubling times in the kingdom. Denver by 10. Ike Gardner: Defense is nonexistent without Hali and Houston. Denver by 20. Lloyd Greenfield: It’ll be a struggle, but K.C. will prevail. Chiefs by 3. Ollie Hubbard: Do unto others as they HAVE done unto you. Chiefs by 6. Jim Nunnelly: K.C. will employ Kerry-Washington-like totality. Chiefs by 6. Ed West: KC has too many defensive injuries. Denver by 10."
303577,"Monday Niters By Jim “Granddad” Nunnelly Well, we all know that the Chiefs are still losing. But, so is Oakland, the Chiefs’ next Arrowhead opponent. And, we all know about the 40 year rivalry between the two teams. And we also know that, at one time, these AFC stalwarts were competitive and even Super Bowl entrants. But, like a lot of things, each of these two historical giants have fallen on “hard times”. Neither is expected to do much at all, in 2008. Like last year and the year before that. In fact, these conference siblings are in a shaky state of re-building i.e. they will lose every game they play. Thus, the game out at Arrowhead will be “a battle of the behinders”. To mark such a sad occasion, I have changed the names of the teams, to reflect how even they are. . . in their likelihood to lose. From now on, these two teams are called the Kansas City Raiders and the Oakland Chiefs. That’s because they are both losers and they will continue doing “hard times of 2008”. Enough said. Allow me tell you a little about each one of the Monday Nite Footballers Group. . . one by one. . . with their predictions for Sunday. DR. CHARLES ALLEN (Kansas City) -- A dentist by profession. . . known for his painless procedures and his professional office staff. . a Kappa by fraternity.... an extraordinary grandfather. . . believes Kansas City will win by touchdown because the Chiefs will play better at home. PAUL BOOKER..(Oakland). . . retired educator...was a specialist in assisting needy students...hails from the Bootheel. . . watches ESPN everyday...good with figures...self-appointed liquor inspector...fantastic grandfather. . . believes Oakland will win by 10 because of the pitiful Chiefs’ pitiful offensive line. CARL CLARK (Kansas City). . . retired journeyman at Colgate...car enthusiast. world traveler...socially aware and respected. . . effective grandfather....daily visitor to 69th and Prospect. . . believes Kansas City will win by a touchdown, even though neither team is worthy of winning. BUBBA CLEAVER.(Kansas City). . . nationally-acclaimed elected official and minister. . . former Mayor and now United States Congressman. . .studious and thoughtful to a fault.. . . can remember thousands of people and their exact conversations. . . a proud grandfather. . . believes Kansas City will win by 10 because the Oakland Raiders don’t “raid” any more. IKE GARDNER..(Oakland). . . fearless pragmatist. . . attends St. James and sits near the back on the aisle. . .a steadfast grandfather. . . cantankerous as hell. . . has seats on the 50 yard line at Arrowhead. . . was a key player in the early days of desegregation of schools. . .believes Kansas City by 3 because there is no chance for Oakland to win. LLOYD GREENFIELD (Kansas City). . . a retired firefighter turned real estate enthusiast. . . owns hundreds of model cars...has a motorcycle. . . has starred in many theatrical events. . . clear-headed and respected. . . stays in contact with his old high school class..believes the Chiefs will win by 3 but it will be on a “wing and a prayer”. OLLIE HUBBARD (Oakland). . . Loves and is married to Lincoln university. . . been known to lie about everything. . . knows everybody in Kansas City...formerly a vice principal, now retired....loves to prepare food for his friends so that he can eat the most.....a remarkable grandfather....thinks the Kansas City-Oakland game will be a toss-up but Chiefs could win by 14. JIM NUNNELLY..(Kansas City). . .has consulted with over 200 organizations nationwide....instrumental in building anddeveloping the Rodgers Health Center. . . .a relentless advocate for teenagers. . . a complete grandfather.......works at Jackson County. . . believes the Chiefs and the Raiders are the two worst teams in the NFL but come Sunday, the Chiefs will deploy a “Midwest Coast Defense” and win by 3. ED WEST....(Kansas City). . . a gadgetician. . . can construct or repair any computer...has a huge big screen tv. . .a substitute teacher in Raytown....was All-America at Pittsburg State. . .devout member of St. James. . . an encouraging grandfather...believes Kansas City will win by a touchdown because he “just a Raider-hater”"
116033,"Flip Wilson, Old Sayings And The 11-4 Chiefs You all remember Flip Wilson. He had his own television show, way back in the sixties. In fact, he was one of the first African American comedians to have a major white following. Most people will remember him as “Geraldine”, a cross-dressed character he created for the show. Everyone like ol’ Flip and he sure did a lot to reduce racial tensions, nationwide. Everyone waited for and watched Flip Wilson do his thing on Sunday evenings. Speaking of doing things, the Chiefs failed to win, out at Arrowhead this last Sunday. But don’t fret too much because they will be still be playing after they play Sunday against the Chargers.. That simply means they have played well enough and won enough games to “qualify” for the Super Bowl chase. However, two things. They have to win to stay in the mix. And secondly, they have to play on the road. Now, remember when the Chiefs won the Super Bowl after the 1969 season, they were in the same position. They were a wild card entry, which means they can pursue the Super Bowl….but they have to play on the road. If you want to know more about the only Super Bowl the Chiefs have played in, just ask Ike Gardner. He is still mad because the Chiefs have never regained the respect they once had, when they won the “big game” against the Joe Kapp and the Minnesota Vikings. Speaking of Ike and his cantankerous ways, I owe him somewhat of an apology. You will remember last week, I talked about how Ike had consistently beat up on the Chiefs. In spite of them winning eleven games this year, he still insists they are a mediocre team at best. Truthfully, they are much more than they were last year. But last Sunday against Indianapolis , they stunk. I mean less than mediocre. After the first series touchdown, the Chiefs went downhill, the rest of the game. Thatcaused national commentators to talk badly about the Chiefs, as well. They say that the Chiefs can’t win against teams with winning tradition and records. That sounds like what Ike has been saying. Really, I don’t mind what Ike says. I just don’t like the way he says it. There’s no love or loyalty in his cantankerous comments. He sounds so disloyal. Unlike other Monday Niters like Dr. Allen, Paul Booker, Carl Clark, Bubba Cleaver, Lloyd Greenfield, Ollie Hubbard and Ed West, Ike just blatantly “tells it like it is”. And readers everywhere just are appalled at his non-support of the home team. But another old saying may apply. “It is what it is”. The Chiefs are shaky some days. But some days, they show great promise, especially among players like Derrick Johnson and Jamaal Charles and even Tamba Hali. Another old saying is that “you can’t make a silk purse out of a pig’s ear”. That means you have to accept what the Chiefs are and they are a good team…but not a great team like New England or Denver or New Orleans or even Seattle. Ike would say the Chiefs will not make it through the first round in the playoffs. But they made it this far and they will be trying to advance. And they will be on tv, when most teams will be watching. Getting back to tv, we started out talking about Flip Wilson having his own tv show, way back when. And like all of our favorite shows, something is said that sticks with us all of our life. And it just may well wrap up this conversation about the Chiefs. Old Flip used to say somewhere during every telecast. What You See Is What You Get” And that my friends describes our Kansas City Chiefs. So Ike needs to call on Flip to help him state his disdain, more appropriately."
11262,"Monday Nite Footballers Predictions By Jim “Grand Dad” Nunnelly Predicting Since 1970 Charles Allen (9) Chiefs by 3 Chiefs will take a bite out of Bengals Paul Booker (5) Cincinnati by 14 Chiefs not ready for the big show! Bubba Cleaver (8) Lloyd Greenfield (9) Chiefs by 3 All is well that ends well Kansas City Chiefs vs. Cincinatti Bengals 12:00 p.m. KCTV 5 “Forks In The Road” Obviously, this game is it! The Chiefs have come to the fork in the road…either they win or we will all turn our attention and support to Tony Dungy (Indianapolis) and Marvin Lewis (Cincinnati). But if Detroit should happen to beat Pittsburg and Denver wipes out San Diego and the Chiefs beat up on Cincinnati…. then, the Chiefs will make the playoffs. Folks, it is that simple. And complicating matters is the hovering speculation that Vermeil will retire…one way or the other. Clearly, Vermeil is at the fork in the road, too. Win and stay in! Lose and sign up for Medicare! Folks, it is that simple. And we, Monday Niters, are facing another kind fork in the road. Monday Night Football, as we know it, is over. ABC will no longer broadcast the perennial ratings-winner. In fact, we all said our goodbyes to Al Michaels and John Madden and reminisced about all the history-making plays witnessed on Monday night television, everywhere. In 1970, we were all younger, quicker, and immature. Now we are older, slower and fall asleep, with no warning. It takes us longer to do EVERYTHING, including selecting our teams. Some of us even have to ask “who’s playing”. The fork in the road for us is that we are just getting old and things are changing, with or without our support. But some things will never change….Ike, Ollie and that Booker will always be haters of the Chiefs. Cleaver, Carl, and Ed West will go with the wind. And faithful, fine people like Lloyd Greenfield and imminent Dr. Allen, will always support the Chiefs, just like on New Year’s Day against North Division champions, Cincinnati. We know the Chiefs will win by at least ten and Vermeil stays in. We never have been at that fork in the road! Like each of you, we will have to switch the channel over to ESPN and carry on as usual. Booker, Ollie and Ike will continue to hate the Chiefs. And Ed, Carl and Cleaver will switch up, every now and then. And Dr. Charles Allen, Lloyd Greenfield and I will always support the Chiefs. Wisely, we don’t have to face a fork in the road. We know the way, just like we have always done. And just for the record, we will be looking for the Chiefs to win on New Year’s Day, out at Arrowhead. Chiefs by 10 and Vermeil will be back, again! Carl Clark (8) Chiefs by 7 Chiefs not ready for the fat lady to sing! opportunity! Ike Gardner (8) Cincinnati by 8 Forget season, focus on next year’s draft Chiefs have to save face! Ollie Hubbard (3) Cincinnati by 6 Cincinnati has improved, in every way Jim Nunnelly (9) Chiefs by 10 Johnson, Kennison bash Bengals Ed West (5) Chiefs by 7 Game is meaningless to Cincinnati Eric Wesson (KC CALL) (5) Chiefs by 1 Bipolar Chiefs come through, hopefully"
284687,"Super Bowl XLIII: Arm Vs. Hammer Amid all the opulent commercials, the teams on the field were not expected to be in Tampa Sunday. Oh yea, all of you AFC fans ere thinking that New England would rise again. And those New Yorkers thought that the Giants would represent the NFC and return to the most luxurious Sunday of the year. And some of you thought that Tony Dungy would re-take his Colts, before he retired with his best-selling book proceeds. Well, we were all wrong and we now have (Mike) Tomlin and the Steelers versus Kurt Warner and the Cardinals. And the only thing they have in common is that neither was supposed to be in Super Bowl 43. Pittsburgh, under its black, second-year coach, has come to be known for its awesome defense. And according to Cleaver, Ike, Carl, and Lloyd, Pittsburgh will slaughter Arizona. But, some of us will remember Kurt Warner, who conducted the “Greatest Show On Turf”. He was the pass-happy quarterback under the (Dick) Vermeil-led St. Louis Rams (who went on to the Super Bowl). So it will an “Arm and Hammer” game that will keep us glued to our big screens, at least until the multi-million-dollar commercials begin. Laugh of the Day: Chiefs will be in Super Bowl 44, after going undefeated in 2009. And Carl Peterson will be the General Manager of the opposing NFC team and guess who will be the Head Coach?.. Ha Ha Ha! Charles Allen: Pittsburgh by 14. Experience, experience, experience! Paul Booker: Pittsburgh by 14. I’m black and biased...Tomlin goes all the way! Carl Clark: Pittsburgh by 7. Defense will win this game! Bubba Cleaver: Pittsburgh by 14. Arizona is the biggest fluke in NFL history! Ike Gardner: Pittsburgh by 7. Too much defense! Lloyd Greenfield: Pittsburgh by 7. Steelers will steal it! Ollie Hubbard: Pittsburgh by 7. Ain’t no mountain high enough! Ed West: Pittsburgh by 10. Remember, I went to Pittsburgh. Tracy Allen: Pittsburgh by 7. Steeler’s “steel” will contain Fitzgerald, Warner Eric Wesson: Pittsburgh by 17. It is a great time to be black in America! Donna Stewart (publisher): Arizona by 7."
301929,"The winning ways of the Chiefs are gone forever....like home-made pies, real mashed potatoes, pan-fried chicken, John Agnos pig-ear sandwiches, the Birdland, 20-mens Club, Frank’s Place etc. While we may be melancholy about them, they are not coming back. Our grandchildren will just have to take our word for it. DR. CHARLES ALLEN: Possesses a surreal optimism about the Chiefs. . ..his grandson Robert is a free safety at Grandview Middle...Robert has been with Charles and Beverly since he was 14 months old.believes Kansas City will beat Denver by 14. (Wake up Dr. Allen, have you been to the 6902?) PAUL BOOKER: Probably the least controversial of all the Monday Nite Footballers...pleasant style. . . serves a buffet of fine choices...brags all the time about his granddaughter Ashley, who is starting point guard at Penn Valley. . .thinks Denver will show no mercy, Sunday...Denver by 14. CARL CLARK: Has the distinction of having both his grandchildren named in his honor, Carl III and Carlynn. . . owns a slick Corvette. . . just elected chairman of the 6902 Board of Directors. . . believes the Chiefs will not win another game...Denver by14. BUBBA CLEAVER: will present at the national Congressional Black Caucus on foreclosures. . . talks often to his grandchildren by phone. . . they don’t care about his community standing. . . has over a thousand eight-track tapes. . . nicknamed the stadium Arrowhead United Methodist Church. . . thinks the Chiefs are a cinch to lose again. Bubba will leave on Sunday to visit the Missouri National Guard troops in Kosovo, Yugoslavia. Denver by 14 IKE GARDNER: Once put a “no visitors” sign on his hospital-room door...has the personality of an injured wolverine. . . once volunteered for his teacher-daughter Tia. . . takes his nine-year-old grandson Isaiah to 35 Chiefs football games. . . the only dog he ever owned ran away, seeking asylum at Wayside Waifs. . . will have a BIG Birthday on September 26. . . believes the Chiefs are no opposition for Denver...Broncos by 35. LLOYD GREENFIELD: Is responsible for assuring that all Monday Niters receive an annual dose of culture by arranging to attend a play in the area. . . is new in the “grandfather” role for his seven-month-old granddaughter, Geneva. . . wants to provide her with a good foundation because he never had one. . . is considering wearing a toupee. . . bald or not, believes Chiefs have too many internal problems to win. . . Denver by 14 1/2. OLLIE HUBBARD: Is one of the best fish-cooks in the Kansas City area. . .has cooked many a fish and made a lot of chili raising funds for Lincoln University . . . rescued his now wife from one of the largest cities in Missouri, Macon. . . has more out of town visitors than the entire hotel industry. . . loves to go to Mount Pleasant, Texas. . . believes the Broncos will kill the Chiefs. Denver by 35. JIM NUNNELLY: All four of his grandchildren are named in his honor....grandson Chris now attending Missouri Western at St. Joseph. . .hails from Columbia, Missouri. . .featured in Ebony magazine in 1975. . .can be seen at Gates, Niecies, Peachtree, M and M Bakery all the time. . . wife, Janice never cooks. . . will one day write a book about these Monday Nite Footballers. . .moans for the “good ol’ days”. . .they are never coming back. . .no Dante Hall, no victory...Denver by 28. ED WEST: Has two adolescent granddaughters in California. . .son Damon was the music producer for “Dreamgirls”. . . had a strong influence on his son’s career by enrolling him in Christian School. . ..can fix anything electronic. . . was the audio engineer at St. James. . . wife, Celeste is an advocate for alternative school students. . . believes the defense will be Cutlerized. Denver by 20."
248558,"LLOYD GREENFIELD I was a firefighter in this community for over 30 years. I have seen men and women perform under the worst of disasters. Thus, knowing about courage and skill is something I have come to expect from every professional, especially those in such high-paid, visible sports professions. Which brings me to my commentary about our sinking Kansas City Chiefs. Something is definitely wrong with our team, y’all! Maybe it’s the management who seems to say it is “my way or the highway”. Or maybe it is the offensive line, who continually allow the quarterback and running backs no opportunity at all. I know for sure that the top management is the “weakest link”. As a firefighter, the chiefs always encouraged, inspired, and supported all of us who were on the frontline. Not a day went by when we knew we were on the “same team”. But that is not happening with our Chiefs and the result is a winless season for the Chiefs, joining St. Louis , Tennessee , and Tampa Bay . But after seeing the game against Dallas , there is some hope, especially among the defensive players. While I haven’t given up, I do believe they will lose again on Sunday against Washington. Where is the development plan? Dr. Charles Allen Chiefs by 10 Redemption! Paul Booker Redskins by 13 Eleven good street people desperately needed. Carl Clark Redskins by 10 Redskins scalp the Chiefs Bubba Cleaver Redskins by 3 Chiefs MIGHT win! Ike Gardner Redskins by 13 Too many Indians not enough Chiefs Lloyd Greenfield Redskins by 7 The sinking Chiefs! Ollie Hubbard Redskins by 7 More booty kicked Jim Nunnelly Chiefs by 3 Chiefs running game emerges Ed West Chiefs by 1 They gotta win SOMETIMES! Eric L. Wesson Washington by 1 Washington may be just as big of bums as the Chiefs “The Sports Guy”"
295120,"Monday Niters Man, it was so hard to talk about the Kansas City Chiefs in serious manner. In fact, Ed West recognized that the Chiefs played better. And Carl Clark and Ike Gardner actually praised Thigpen, the last of the rotating Chiefs’ quarterbacks. The Tennessee Titans (8-0) are for real as the only undefeated team in the NFL. Worth noting is that the AFC West is the weakest conference in the NFL, having no team with a winning record. What’s more is that our Chiefs have the worst record in the worst division. Now, what a distinction! Well, we then turned our attention to hoping that (Barack) Obama will become the next President of the United States. We, as African Americans, will no longer have a color-fence to hide behind. We can savor and elongate this important event, by achieving unprecedented excellence in everything we attempt. With that, here are our predictions for the next week. Dr. Charles Allen. . . He’s speechless behind these Chiefs. . . Charles always votes for the Chiefs. . . even though most of us believe he is loyal to a fault. . . Chiefs by 3 Paul Booker. . . He thinks L.T., San Diego’s running back, will run up and down the field on the Chiefs. . . Chargers by 13 Carl Clark. . . attended Mary Helen Parker’s surprise birthday party last week. . .he thinks the Chiefs cannot survive another attack. . . Chargers by 7 Bubba Cleaver. . . is campaigning hard for Obama. . .is being helpful for those faced with foreclosure issues...did foreclose on the Chiefs. . . San Diego by 10 Ike Gardner. . . Ike is kinda subdued these days. . . he is nicer than he has ever been. . . not sure what’s up...but he still knows the Chiefs cannot win. . . and believes they will find another way to lose. . . Chargers by 21 Lloyd Greenfield. . . Loyal Lloyd is being loyal again...he believes if the Chiefs try, he will try to support them...Chargers by 3 Ollie Hubbard. . . wife, Sandra and he have been helpful to planning community events, especially for Lincoln university. . . not that supportive of the Chiefs. . . Chargers by 30 Jim Nunnelly. . . His mind is stayed on Obama. . . thanks everyone who engineered his retirement party, where 350 persons attended last Friday. . . he doesn’t believe the Chiefs are retired, quite yet. Look for Smith, Charles and Bowe to show out. . . Chiefs by 3 Ed West. . . A staunch Obama supporter. . . an avid Cleaver fan. . . but not Herm Edwards...thinks Herm has too many rookies out there and lightning will again strike them. . . Chargers by 20"
