"entity_value","frequency"
"Ike","64"
"Carl Clark","42"
"Paul Booker","41"
"Charles Allen","40"
"Ed West","39"
"Ike Gardner","36"
"Booker","34"
"Nunnelly","34"
"Lloyd Greenfield","31"
"Ollie","31"
"Carl","29"
"Lloyd","29"
"Ollie Hubbard","28"
"Charles","26"
"Jim Nunnelly","24"
"Paul","23"
"Bubba Cleaver","18"
"Allen","18"
"Matt Cassel","18"
"Doc","16"
"Cleaver","15"
"Obama","14"
"Romeo","13"
"Jamaal Charles","11"
"Mila Banks","10"
"Banks","10"
"Wesson","10"
"Jim","9"
"Cassel","9"
"Manning","7"
"Haley","7"
"Bunny Rabbit","7"
"Hubbard","7"
"Shakespeare","7"
"Granddad","7"
"Herm","6"
"Larry Johnson","6"
"Goliath","6"
"Luck","6"
"Hali","6"
"David","5"
"Tony G","5"
"Rev","5"
"Clark","5"
"Herm Edwards","5"
"Rudolph","5"
"Dwayne Bowe","5"
"West","5"
"Bowe","5"
"Terry Strother","5"
"God","5"
"Sandra","5"
"Kerry Washington","4"
"John Legend","4"
"George Benson","4"
"Bri","4"
"Mila","4"
"Erica","4"
"Gardner","4"
"Johnson","4"
"Grand Dad","4"
"Carl Peterson","4"
"Jim “Grand Dad","4"
"Tom Brady","4"
"Eric","4"
"Marvin Gaye","4"
"Flip Wilson","4"
"Andre","4"
"Todd Haley","3"
"Eric L","3"
"Flip","3"
"Ray Lewis","3"
"Otis Taylor","3"
"Roberta Flack","3"
"Jamal Charles","3"
"Amanda","3"
"Robert","3"
"Greenfield","3"
"Jeremiah Cameron","3"
"Beverly","3"
"Ollie Gates","3"
"Eric L. Wesson","3"
"Jim “Granddad","3"
"S Dad","3"
"Guy","3"
"Derrick Johnson","3"
"Jones","3"
"Tamba Hali","3"
"Myla Banks","3"
"Eli","3"
"Smith","3"
"Monday Niters","3"
"Josh Freeman","3"
"Thigpen","2"
"Winston","2"
"George","2"
"Kerry","2"
"Niters","2"
"Peyton","2"
"Jimmy Ray Hubbard","2"
